Material,"Density
","Melting Point
","Boiling Point
",Material,"Electric Resistivity
",Material,"Thermal Expansion Coefficient
","Thermal Conductivity
",Material,"Tensile Strength
","Elongation
",Material,Specific Heat (J/kgoC),Material,Boiling Points at Atmospheric Pressure,Material,Radiation Constant ,Material,"Thermal Conductivity 
- k - W/",Material,Crushing Weight ,Shearing Strength ,"Strength
",Material,Ksp,Material,Density,Material
Tin,7.3,231.9,2602,,,,,,,,,Chalk,750,Diethyl ether,34.7,,,Brickwork,0.6 -1.0,,,,,Calcium sulfate dihydrate,3.14 *10-5,Beeswax,0.96,
Titanium,4.54,1668,3287,,,,,,,,,Charcoal,840,Dowtherm,258,,,Brickwork,1.6,,,,,Calcium sulfite hemihydrate,3.1 *10-7,Beryl,2.7,
Titanium Alloy,4.51,-,-,,,,,,,,,Chromium,452,Ethane,-88.78,,,Bromine ,0.004,,,,,Cesium perchlorate,3.95*10-3,Beryllium,1.85,
Tungsten,19.3,3422,5555,,,,,,,,,Chrom oxide,750,Ether,34.6,,,Bronze,110,,,,,Cesium periodate,5.16 *10-6,Biotite,2.7 - 3.1,
Wood,0.56 - 0.64,-,-,,,,,,,,,Clay,1381,Glycerin,290,,,Brown iron ore,0.58,,,,,Cobalt arsenate,6.80 *10-29,Bismuth,9.8,
Wood,0.48 - 0.56,-,-,,,,,,,,,Cobalt,435,Ethane C2H6,-88,,,Butter ,0.2,,,,,Cobalt carbonate,1.0 *10-10,Boiler scale,2.5,
Wood,0.64 - 0.72,-,-,,,,,,,,,Coke,840,Ethanol,78.4,,,Cadmium,92.1,,,,,Cobalt hydroxide,5.92*10-15,Bone,1.7 - 2.0,
Wood,0.55 - 0.64,-,-,,,,,,,,,Concrete,880,Ethyl acetate CH3COOC2H3,77.2,,,Calcium silicate,0.05,,,,,Cobalt iodate dihydrate,1.21*10-2,"Bone, pulverized",0.88,
Zinc,7.14,419.5,907,,,,,,,,,Constantan,410,Ethylbenzene,136,,,Carbon,1.7,,,,,Cobalt phosphate,2.05*10-35,"Borax, fine",0.85,
Actinium,,1050,,,,,,,,,,Copper,385,Ethyl bromide C2H3Br,38.4,,,Carbon dioxide ,0.0146,,,,,Copper arsenate,7.95*10-36,Brass,8.48,
Aluminum,,660.37,,,,,,,,,,Cork,2000,Ethylene,-103.7,,,Carbon monoxide,0.0232,,,,,Copper bromide,6.27*10-9,Bronce,8.83,
Americum,,994,,,,,,,,,,Diamond ,516,Ethylene bromide,131.7,,,Cast iron,58,,,,,Copper chloride,1.72*10-7,Brown iron ore,5.1,
Antimony,,630.74,,,,,,,,,,Duralium,920,Ethylene Glycol,197,,,Cellulose,0.23,,,,,Copper cyanide,3.47 *10-20,Brick,1.4 - 2.4,
Argon,,-189.2,,,,,,,,,,Emery,960,3 - Ethylpentane,93.5,,,Cellulose acetate,0.17 - 0.33,,,,,Copper hydroxide,1*10-20,"Brick, fire",2.3,
Arsenic,,817,,,,,,,,,,Epoxy cast resins,1000,Fluorine,-187,,,Cellulose nitrate,0.12 - 0.21,,,,,Copper iodate monohydrate,6.94 *10-8,"Brick, hard",2,
Astatine,,302,,,,,,,,,,Fire brick,880,Formaldehyde,-21.1,,,Cement,0.29,,,,,Copper iodide,1.27*10-12,"Brick, pressed",2.2,
Barium,,725,,,,,,,,,,Fluorspar CaF2,830,Formic acid,101,,,Cement,1.73,,,,,Copper oxalate,4.43*10-10,Brickwork in cement,1.8,
Berkelium,,,,,,,,,,,,Dichlorodifluoromethane R12,871,Trichlorofluoromethane refrigerant R-11,23.8,,,Ceramic materials,,,,,,Copper phosphate,1.40*10-37,Brickwork in mortar,1.6,
Beryllium,,1278,,,,,,,,,,Dichlorodifluoromethane R12,595,Dichlorodifluoromethane refrigerant R-12,-29.8,,,Chalk,0.09,,,,,Copper thiocyanate,1.77*10-13,Butter,0.87,
Bismuth,,271.3,,,,,,,,,,Ice ,2093,Chlorodifluoromethane refrigerant R-22,-41.2,,,Charcoal,0.084,,,,,Chromiumhydroxide,1*10-17,Cadmium,8.64,
Boron,,2079,,,,,,,,,,India rubber,1250,Diisobutyl,109,,,Chlorinated poly-ether,0.13,,,,,Chromiumhydroxide,1*10-30,Calamine,4.1 - 4.5,
Bromine,,-7.2,,,,,,,,,,Glass,670,Furfurol,161.7,,,Chlorine ,0.0081,,,,,Europium hydroxide,9.38 *10-27,Calcium,1.55,
Cadmium,,320.9,,,,,,,,,,Glass,753,Glycerine,290,,,Chrome Nickel Steel ,16.3,,,,,Gallium hydroxide,7.38 *10-36,Calcspar,2.6 - 2.8,
Calcium,,839,,,,,,,,,,Glass-wool,840,Glycol,197,,,Chromium,94,,,,,Iron carbonate,3.13 *10-11,Camphor,1,
Californium,,,,,,,,,,,,Gold,129,Helium,-269,,,Chrom-oxide,0.42,,,,,Iron fluoride,2.36*10-6,Carbon,3.51,
Carbon,,3652,,,,,,,,,,Granite,790,n - Heptane,98.4,,,Clay,0.15 - 1.8,,,,,Iron hydroxide,4.87*10-17,Caoutchouc,0.9 - 1,
Cerium,,798,,,,,,,,,,Graphite ,717,n - Hexane,68.7,,,Clay,0.6 - 2.5,,,,,Iron hydroxide,2.79*10-39,Cardboard,0.7,
Cesium,,28.4,,,,,,,,,,Gypsum,1090,Hydrogen,-253,,,Coal,0.2,,,,,Iron phosphate dihydrate,9.91*10-16,Cast Iron,7.2,
Chlorine,,-100.98,,,,,,,,,,Helium,5193,Hydrochloric Acid,-81.7,,,Cobalt,69,,,,,Lanthanum iodate,7.50*10-12,Celluloid,1.4,
Chromium,,1857,,,,,,,,,,Hydrogen,14304,Hydrofluoric Acid,18.9,,,Cod ,0.54,,,,,Lead bromide,6.60*10-6,"Cellulose, cotton, wood pulp, regenerated",1.48 - 1.53,
Cobalt,,1495,,,,,,,,,,Ice,2090,Hydrogen Chloride,-81.7,,,Coke,0.184,,,,,Lead carbonate,7.40*10-14,"Cellulose acetat, moulded",1.22 - 1.34,
Copper,,1083.4,,,,,,,,,,Ingot iron,490,Hydrogen Sulfide,-60,,,Concrete,0.1 - 0.3,,,,,Lead chloride,1.70*10-5,"Cellulose acetat, sheet",1.28 - 1.32,
Curium,,1340,,,,,,,,,,Iodine,218,Iodine,184.3,,,Concrete,0.4 - 0.7,,,,,Lead chromate,3*10-13,"Cellulose nitrate, celluloid",1.35 - 1.4,
